,,,8,24,11,26,17,9,19,9,26,4,10
Documents de support aux opérations,,,Rouge,Rose,Jaune,Gris,Bleu,Vert,Orange,Violet,Beige,Beige,Beige
TITRE DU DESSIN,NO. DESSIN,exemplaires,Essai,Qualité,Isolation,Ass + Stacking,Tanking,Test,Finition,Filerie,Cuve,Vente,Achats
Autres pièces,"G1168-, G1371, G1368",2,,1,,,,,,,1,,
Base,G1354,2,,1,,,,,,,1,,
Base Mod./ Tank Mod.,G1168A,3,,1,,,1,,,,1,,
Base for C/C,G1154A0240 et autres,1,,,,,,,,,1,,
Boite de contrôle (CB),# du transfo suivit de CB,1,,1,,,,,,,,,
Bottom cross ch.,G1318A----,2,,,,1,,,,,1,,
Bottom lock. Arr.,G1331A0180 et autres,1,,,,1,,,,,,,
Busbar,"Si inscrit ""Metelec"" dans M.P.L. ",3,,,,1,1,,,,,,1
Bushings,G1175,1,,,,,1,,,,,,
C.L. Fuse Studs,G1168A,2,,,,,1,,,,1,,
Clamps,G1175,1,,,,,1,,,,,,
Com. atelier,,2,1,,,,,1,,,,,
Connection Diagram,"G1130, G1339",6,1,1,,1,1,1,,1,,,
Connection Diagram,G1309C,5,1,1,,1,,1,,1,,,
Control Box Mod,G1368A1571,2,,1,,,,,,1,,,
Core Blocking,CB Master,1,,,,1,,,,,,,
Cover - Couvercle,"G1161, G1361",4,,1,,,,,1,,2,,
Estampes,,1,,1,,,,,,,,,
Bars (Extension )/Spacers,G1368A / G13,4,,,1,1,,,1,,,,1
Extention hardware,G1368A,3,,,1,1,,,,,,,1
Flange Network,,2,,1,,,,,,,1,,
Formulaire: Points a surveiller,Copie sur des feuilles oranges *,7,,1,1,1,1,,1,1,,1,
Frame,"G1117, *G1117B, G1317, G1318B, G1318C ",3,,1,,1,,,,,1,,
Gaskets,G1175,2,,,,,1,,1,,,,
Glastic,G1185 / G1368,5,,1,1,1,,,1,,,,1
Ground bar,"G1335, G1135",3,,1,1,1,,,,,,,
Ground bar / bus,G1335A--,2,,,,1,,,,,,,1
Ground spade/pad,G1135A,3,,,1,1,,,,,1,,
Ground Strap Network,G1135A,3,,1,1,1,,,,,,,
HV & LV Cutout detail,G1168B,2,,1,,,,,,,1,,
HV busbar,,1,,,,,,,,,,,1
Insulation (List of),"G1131, FLE en titre",2,,,1,1,,,,,,,
L.V. Bushing Spacer,G1368A21522,2,,,,,,,1,,,,1
L.V. Extention bar support,G1168,3,,,,1,1,,1,,,,
L.V. supports,G1133A0390 et autres,4,,,1,1,,,1,,,,1
M.P.L,"G1190, G1390, G1391",10,1,1,,1,1,1,1,1,2,,1
N/P-Ext. Nameplate(Étiquette),G2104,4,,1,,,1,,1,,,,1
Nameplate - Plaque signalet.,"G2102, G2112 (sans +)",5,1,,,1,1,1,1,,,,
Nameplate - Plaque signalet. ,"G2102, G2112 (avec +)",1,placer dans chemise sur la table à dessins,,,,,,1,,,,
Network Piping,G1368 B,1,,,,,,,,1,,,
Network Support,G1183,2,,1,,,,,,,1,,
Order Check List,"C1120, C1122, C1115, C1116",5,1,,1,1,,1,,,,1,
Outline - Encombrement,"G1103, G1303",10,1,1,,1,1,1,1,1,2,1,
Palette,PL-Master,3,,,,,,,1,,1,1,
Switch chamber,G1368B,2,,1,,,,,,,1,,
Tank - Cuve,G1158D,6,,1,,,1,,1,,3,,
Tank - Cuve,"G1150, G1350, G1158C",5,,1,,,1,,1,1,1,,
Top locating bolt,G1318A----,2,,,,1,,,,,1,,
Top location angle,G1318A----,2,,,,1,,,,,1,,
Window Blocking,WB Master,1,,,,1,,,,,,,
Wiring - Shéma éléctrique,G1339,6,1,1,,,1,1,1,1,,,
X0 Bar support,,0,,,,,,,,,,,
X0 Connection,,2,,,,,1,,1,,,,
X0 Neutral sp.,G1135A0149 et autres,1,,,,,,,,,1,,
LY Layout,,2,,,,,,1,1,,,,
Ext.Bar,G21152-MOD,2,,,1,1,,,,,,,
,,,,,,,,,,,,,
